Model,Accuracy,Precision,Recall,F1,AUC
SVM,0.7785453067858594,0.0,0.0,0.0,0.6251891363888836
KNN,0.7785453067858594,0.0,0.0,0.0,0.4897995633104135
LogisticRegression,0.7769199512393336,0.35714285714285715,0.009174311926605505,0.017889087656529516,0.6576300971059739
